"",country,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov
38,Austria,2021,15.0,10.411426,14.561660,94.0,97.132503,91.903995
39,Austria,2021,15.0,9.913255,29.000000,100.0,97.135475,95.000000
40,Austria,2020,15.0,10.062268,8.000000,96.0,97.141150,96.000000
41,Austria,2020,15.0,11.000000,19.000000,85.0,100.000000,94.000000
42,Austria,2021,15.0,10.003748,28.000000,99.0,97.134534,95.000000
43,Austria,2021,19.0,13.000000,20.000000,97.0,99.000000,92.000000
44,Austria,2020,15.0,10.000000,28.000000,100.0,100.000000,96.000000
45,Austria,2021,15.0,9.790787,11.000000,99.0,97.143972,96.000000
46,Austria,2020,15.0,9.677234,10.000000,100.0,97.145957,96.000000
47,Austria,2021,15.0,9.000000,32.000000,99.0,100.000000,96.000000
48,Austria,2020,15.0,9.000000,30.000000,100.0,98.000000,96.000000
49,Austria,2021,15.0,9.665704,9.000000,100.0,97.146479,96.000000
50,Austria,2020,15.0,9.734793,14.811678,100.0,97.143375,95.877224
51,Austria,2020,17.0,10.000000,17.000000,100.0,100.000000,95.000000
52,Austria,2021,17.0,10.890083,17.000000,99.0,97.139208,96.000000
53,Austria,2020,17.0,10.753471,14.000000,100.0,97.142238,96.000000
54,Austria,2021,17.0,11.000000,16.000000,99.0,99.000000,96.000000
55,Austria,2020,17.0,11.000000,30.000000,99.0,62.000000,94.000000
56,Austria,2020,17.0,10.895511,16.000000,99.0,97.139170,95.000000
57,Austria,2020,16.0,10.169234,8.000000,100.0,97.146186,96.000000
58,Austria,2021,17.0,10.845033,19.000000,100.0,97.138506,94.000000
59,Austria,2020,17.0,10.976218,23.000000,99.0,97.135515,95.000000
60,Austria,2020,17.0,9.000000,9.0,100.0,100.000000,95.0
61,Austria,2020,16.0,10.000000,16.0,100.0,100.000000,95.0
62,Austria,2020,16.0,11.000000,13.0,99.0,99.000000,96.0
63,Austria,2020,17.0,10.735839,11.0,100.0,97.143244,95.0
64,Austria,2021,16.0,11.000000,18.0,98.0,98.000000,95.0
65,Austria,2021,17.0,10.837862,11.0,99.0,97.141781,95.0
66,Austria,2021,17.0,11.000000,11.0,100.0,100.000000,96.0
67,Austria,2020,17.0,12.009642,5.0,88.0,97.124902,88.0
68,Austria,2021,17.0,10.821974,17.0,100.0,97.139551,94.0
69,Austria,2020,17.0,11.000000,28.0,100.0,100.000000,96.0
70,Austria,2021,17.0,11.000000,22.0,99.0,72.000000,94.0
71,Austria,2021,17.0,11.018850,9.0,97.0,97.139900,95.0
72,Austria,2020,17.0,10.860922,13.0,99.0,97.140737,95.0
73,Austria,2021,16.0,10.476373,14.0,98.0,97.139007,94.0
74,Austria,2020,16.0,10.000000,10.0,100.0,100.000000,95.0
75,Austria,2021,16.0,10.449629,22.0,99.0,97.136852,95.0
76,Austria,2021,17.0,10.982320,25.0,99.0,97.135031,96.0
77,Austria,2020,17.0,11.076498,14.0,97.0,97.137289,95.0
78,Austria,2021,17.0,11.359509,12.0,94.0,97.133945,95.0
79,Austria,2020,16.0,10.595353,14.0,97.0,97.136984,93.0
80,Austria,2021,17.0,11.039968,30.000000,99.0,97.132420,96.000000
81,Austria,2020,16.0,10.397409,16.000000,99.0,97.139425,94.000000
82,Austria,2020,17.0,10.000000,20.000000,99.0,99.000000,96.000000
83,Austria,2020,16.0,10.398083,19.000000,99.0,97.138979,96.000000
84,Austria,2021,17.0,10.765000,15.000000,100.0,97.141715,96.000000
